year,month,month_name,mean_ndvi,max_ndvi,min_ndvi,std_ndvi,observation
2025,1,January,0.6018,0.6235,0.5801,0.0307,2
2025,2,February,0.6402,0.6415,0.639,0.0018,2
2025,3,March,0.6646,0.6667,0.6625,0.003,2
2025,4,April,0.666,0.6763,0.6557,0.0146,2
2025,5,May,0.6684,0.6841,0.6528,0.0221,2
2025,6,June,0.6666,0.6779,0.6554,0.0159,2
2025,7,July,0.6468,0.6481,0.6456,0.0018,2
2025,8,August,0.6369,0.6434,0.6304,0.0092,2
2025,9,September,0.6294,0.6446,0.6142,0.0215,2
2025,10,October,0.5846,0.5846,0.5846,0.0,1
2025,11,November,0.5248,0.5313,0.5184,0.0091,2
2025,12,December,0.6069,0.6582,0.5556,0.0725,2
