filename,date,mean_ndvi,min_ndvi,max_ndvi,std_ndvi
MOD13Q1.061__250m_16_days_NDVI_doy2025001000000_aid0001.tif,2025-01-01,0.6235,0.0881,0.9716,0.1206
MOD13Q1.061__250m_16_days_NDVI_doy2025017000000_aid0001.tif,2025-01-17,0.5801,0.0475,0.9206,0.118
MOD13Q1.061__250m_16_days_NDVI_doy2025033000000_aid0001.tif,2025-02-02,0.6415,0.1743,0.974,0.112
MOD13Q1.061__250m_16_days_NDVI_doy2025049000000_aid0001.tif,2025-02-18,0.639,-0.0036,0.9965,0.157
MOD13Q1.061__250m_16_days_NDVI_doy2025065000000_aid0001.tif,2025-03-06,0.6667,0.0511,0.9414,0.1267
MOD13Q1.061__250m_16_days_NDVI_doy2025081000000_aid0001.tif,2025-03-22,0.6625,0.0663,0.9844,0.1353
MOD13Q1.061__250m_16_days_NDVI_doy2025097000000_aid0001.tif,2025-04-07,0.6763,0.0511,0.9154,0.1223
MOD13Q1.061__250m_16_days_NDVI_doy2025113000000_aid0001.tif,2025-04-23,0.6557,0.0808,0.9132,0.1255
MOD13Q1.061__250m_16_days_NDVI_doy2025129000000_aid0001.tif,2025-05-09,0.6528,-0.013,0.9994,0.136
MOD13Q1.061__250m_16_days_NDVI_doy2025145000000_aid0001.tif,2025-05-25,0.6841,0.193,0.9175,0.1209
MOD13Q1.061__250m_16_days_NDVI_doy2025161000000_aid0001.tif,2025-06-10,0.6554,-0.066,0.966,0.1164
MOD13Q1.061__250m_16_days_NDVI_doy2025177000000_aid0001.tif,2025-06-26,0.6779,0.032,0.995,0.1208
MOD13Q1.061__250m_16_days_NDVI_doy2025193000000_aid0001.tif,2025-07-12,0.6456,0.1158,0.9533,0.1213
MOD13Q1.061__250m_16_days_NDVI_doy2025209000000_aid0001.tif,2025-07-28,0.6481,0.1243,0.9669,0.1312
MOD13Q1.061__250m_16_days_NDVI_doy2025225000000_aid0001.tif,2025-08-13,0.6304,0.0923,0.9816,0.1237
MOD13Q1.061__250m_16_days_NDVI_doy2025241000000_aid0001.tif,2025-08-29,0.6434,0.0876,0.9427,0.1216
MOD13Q1.061__250m_16_days_NDVI_doy2025257000000_aid0001.tif,2025-09-14,0.6446,0.081,0.9381,0.1268
MOD13Q1.061__250m_16_days_NDVI_doy2025273000000_aid0001.tif,2025-09-30,0.6142,0.0398,0.9989,0.1541
MOD13Q1.061__250m_16_days_NDVI_doy2025289000000_aid0001.tif,2025-10-16,0.5846,0.0108,0.9872,0.1704
MOD13Q1.061__250m_16_days_NDVI_doy2025305000000_aid0001.tif,2025-11-01,0.5184,0.0898,0.7163,0.0902
MOD13Q1.061__250m_16_days_NDVI_doy2025321000000_aid0001.tif,2025-11-17,0.5313,0.0766,0.9771,0.1531
MOD13Q1.061__250m_16_days_NDVI_doy2025337000000_aid0001.tif,2025-12-03,0.5556,0.0503,0.9914,0.1751
MOD13Q1.061__250m_16_days_NDVI_doy2025353000000_aid0001.tif,2025-12-19,0.6582,0.0896,0.9798,0.1219
